INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Small town car', 40.00,'Manual', 'Hybrid');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Small town car', 40.00,'Manual', 'Petrol');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Small family hatchback', 55.00,'Manual', 'Petrol');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Small family hatchback', 55.00,'Automatic', 'Diesel');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Large family saloon', 60.00, 'Manual', 'Petrol');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Large family estate', 75.00, 'Manual', 'Petrol');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Medium van', 70.00, 'Manual', 'Petrol');

INSERT INTO VEHICLES(VEHICLENAME, VEHICLERENTALPERDAY, VEHICLETRANSMISSIONTYPE, VEHICLEFUELTYPE)
VALUES('Medium van', 70.00, 'Manual', 'Petrol');

